Index,Tour_Name,Tour_Type,Number_of_Reviewer,Rating,Duration,Price,Highlight,Location
802.0,"Private Bonteay Srei, Kbal Spean & Beng Mealea Temple Tour",Full-day Tours,2.0,5.0,8.0,100.0,"English speaking tourist guide, Hotel pick up and drop off, Private transportation, Cool hand towels, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
803.0,Full day Angkor Complex with Sunrise-Small Group,Full-day Tours,2.0,5.0,7.0,22.0,"Angkor Wat Sunrise Angkor Thom, Ta Prum, Experience English Speaking Tour Guide, Air-condition vehicle, Bottle of Water, Hotel pick-up and Drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
804.0, Grand Circuit with Banteay Srei and Banteay Samre Tour,Full-day Tours,2.0,5.0,9.0,59.0,"English speaking Tour Guide, Transportation ( AC car or minivan or minibus ), Bottles of drinking Water.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
805.0,2-Day Tour to Angkor Wat with Small Circuit & Kulen Waterfall Mount,Adventure Tours,2.0,5.0,48.0,171.75,"Private A/C Vehicle with driver, English Speaking Guide with licensed, Parking fees & Road tolls, Cool drinking waters & wet towels, Start pick up at your hotel and finish drop you at hotel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
806.0,Siem Reap and Phnom Penh Highlights in 5 days from Angkor Wat,Bus Tours,2.0,5.0,72.0,401.29,"Breakfast, Breakfast, Breakfast, Breakfast, Accommodation as per itinerary, Bottled water, Driver/guide, Air-conditioned vehicle, 4 nights accommodation, Admission ticket to all sights, Entry/Admission - Angkor Archaeological Park, Entry/Admission - Kampong Phluk Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
807.0,2-Days Private Tour Explore Angkor Wat Sunise & Woman Temple Banteay Srey,Bus Tours,2.0,5.0,48.0,106.42,"Air-conditioned vehicle, English tour guide, Cold towel & cold water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
808.0,Angkor Wat Sunrise Full Day Tour,Full-day Tours,2.0,5.0,7.0,24.58,"Cold water, Tour Guide, Driver, Entry/Admission - Ta Nei Temple, Entry/Admission - Siem Reap, Entry/Admission - Ta Prohm, Entry/Admission - Bayon Temple, Entry/Admission - Angkor Wat","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
809.0,"2 Days Private tour:Small tour, Big tour, Sunrise,Sunset and Floating Village",Bus Tours,2.0,5.0,48.0,170.67,"Lunch, Breakfast, Lunch, Dinner, Private transportation, cold water / towel, Entry/Admission - Angkor Thom, Entry/Admission - Bayon Temple, Entry/Admission - Siem Reap, Entry/Admission - Siem Reap, Entry/Admission - Neak Pean","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
810.0,Grand Circuit Full Day Tour Sunset at Bakeng Mountain,Full-day Tours,2.0,5.0,7.0,75.0,"Pick up & Drop off from your hotel within Siem Reap, English speaking tour guide, Fresh Fruits, Coconut Juice, & Cool Battle Water, Transportation (Tuk Tuk), Lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
811.0,Angkor Wat Sunrise with Bayon & Ta Phrom,Bus Tours,2.0,5.0,7.0,112.2,"A tour of Angkor Wat and nearby Temples, Hotel pick-up and drop off (if requested), Professional English-speaking guide, Bottled water, Cold towels, Transport by your chosen vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
812.0,Private Tour Of Angkor Wat For Two Day,Bus Tours,2.0,5.0,48.0,131.42,"Licenced Drivers with Lexus Car/ Grand Starex H1 with high air-conditioning, Cold mineral drinking water and cold towels to cool down from the heat unlimited, Professional English Speaking Tour Guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
813.0,Siem Reap Temple with Sunrise 1-Day Tour,Full-day Tours,2.0,5.0,8.0,59.0,"English Speaking Tour Guide., Transportation: Car, Van with A/C., Cold pure drinking water and cold towel during temple trip., All tax and service charge included.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
814.0,Spirit of Angkor spiritual discovery of the temples of Angkor,Tuk Tuk Tours,2.0,5.0,8.0,87.18,"Lunch, Private transportation, All Fees and Taxes, Optional Buddhist monk blessing, Cold towel and Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
815.0,Kimmy Cowboy Tuk Tuk Driver,Bus Tours,2.0,5.0,8.0,40.54,Bottled water,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
816.0,"Phnom Kulen waterfalls, River of 1000 Lingas & Reclining Buddha",Full-day Tours,2.0,5.0,8.0,77.93,"English-Speaking Tour Guide, Transportation ( AC car or minivan or minibus, Bottles of Cold drinking Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
817.0,ATV Sunset and Cooking Class,Adventure Tours,2.0,5.0,5.0,92.31,"Water and fresh towel after the tour, Driver/Instructor, Guided visit of local Market, Helmet, Face mask and Rain coat ( in case of rain), Hotel pickup, Hotel pickup and drop-off ( in the city of Siem Reap only), Private tour, 3-course lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
818.0,"Tonle Sap Lake, Floating Village, Royal Temples Scenic Flight from Siem Reap",Full-day Tours,2.0,5.0,1.0,149.0,"Flight options from 20 minutes to 1 hour flight by Ultra-light plane (by a licensed pilot Aero Cambodia inc.). Please note that 2 planes fly on each tour (one passenger on each plane with a pilot), Hotel pickup and drop-off, Local taxes, Transportation by air-conditioned vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
819.0,Countryside Tour,Rentals,2.0,5.0,4.0,41.03,Snacks,"Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
820.0,"3-Day tour with with All major Temple, Banteay Srei + Floating Village",Bus Tours,2.0,5.0,72.0,157.5,"All day tour with a professional English-speaking guide., Transportation by air-conditioned vehicle with professional driver, All applicable taxes and service charges, Cool water and Cool wet towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
821.0,Sunset Dinner at Rice Paddy Fields,Food Tours,2.0,5.0,3.0,41.03,"Dinner, Private transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
822.0, Floating Village,Adventure Tours,2.0,5.0,8.0,60.0,"Included with Ox-cart ride, Air-conditioned vehicle, Private transportation","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
823.0,Local Foodies Tour in Phnom Penh City,Private and Luxury,2.0,5.0,4.0,53.0,Bottled water,"Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
824.0,"1 day special Tour: Angkor Wat,Bayon,Ta Prohm, Bantey srei and Beng Mealea",Bus Tours,2.0,5.0,9.0,162.06,"certify tour guide,transportation (A/C car or Van), cold water and cold towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
825.0,Siem Reap Countryside Tour and Cooking Class,Cooking Classes,2.0,5.0,24.0,85.0,"Transport, Ingredients for cooking class, English Speaking Tour Guide, Ox Cart Ride, Lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
826.0,Hike through the Jungles of Phnom Kulen National Park,Adventure Tours,2.0,5.0,7.0,115.0,"All Fees and Taxes, English speaking tour guide, Bottled water, Private tours & transfers by private vintage jeeps, Lunch, Entry/Admission - Phnom Kulen National Park, Entry/Admission - Siem Reap, Entry/Admission - Phnom Kulen National Park, Entry/Admission - Preah Ang Thom pagoda","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
827.0,A Private Tour to The World Heritage Site in Siem Reap,Bus Tours,2.0,5.0,8.0,120.0,"Air-conditioned vehicle, Cold Tower, Pure Drinking Water, English Speaking Tour Guide, Parking Fees, Private transportation, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
828.0,Angkor Wat Bayon and Ta Prohm Temple Tour,Private and Luxury,2.0,5.0,7.0,55.0,"Air-Conditioned Car, Drinking Water and Cold Towels, Hotel Pickup and Drop Off, Local English Speaking Tour guide","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
829.0,Transfer from REP to PNH or from PNH to SHV by Car 4Seat,Bus Tours,1.0,5.0,6.0,120.0,"Private car 4Seat - Option from Phnom Penh to Sihanoukville or from Siem Reap to Phnom Penh, Mineral Water, Pickup and from hotel client stay","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
830.0,SPECIAL PASS for a Magical Evening: Shadow Theatre and Forbidden Rhythms Shows,Theater Shows,2.0,5.0,2.0,48.0,"Two shows, Entry/Admission - Bambu Stage Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
831.0,Half-Day Battambang Authentic Food Experience,Half-day Tours,2.0,5.0,4.0,69.0,"Breakfast, Brunch, Private transportation, Coffee and/or Tea, Bottled water, English Tour Guide, TUK TUK Local transport","Asia, Cambodia, Battambang Province, Battambang, Things to Do in Battambang, Battambang Tours, Tours and Tickets"
832.0,Angkor Wat Bakeng Sunset by Motorcycle Private Tour,Full-day Tours,2.0,5.0,7.0,64.62,"English speaking tour guide with license, Motor Bike,helmet,Driver, Cool pure drinking water, Pick up and drop off, Gratuity is recommended","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
833.0,"One Day Private Guide Tour of Angkor Thom, Bayon, Ta Phrom & Angkor Wat",Car Tours,2.0,5.0,7.0,146.67,"Private transportation by modern air-conditioned vehicle, Professional Licensed English Speaking guide, Sightseeing as specified in the itinerary including entrance fees, Meals as specified in itinerary (1 lunch), 02 bottles of mineral water per person while sightseeing and transfers, VAT and all taxes and service charge, Included admission fee to visit the temples in Angkor Archaeological Park single-day ticket $37.00, Entry/Admission - Angkor Thom South Gate, Entry/Admission - Bayon Temple, Entry/Admission - Baphuon Temple, Entry/Admission - Terrace of the Elephants, Entry/Admission - Terrace of the Leper King, Entry/Admission - Phimeanakas, Entry/Admission - Ta Prohm, Entry/Admission - Angkor Wat","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
834.0,Siemreap-Battambang-Phnom Penh Bus-tickets & Tour,Multi-day Tours,2.0,5.0,48.0,50.0,"Dinner, Breakfast, Homestay 1night, Driver/guide, Hotel pickup and drop-off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
835.0,Daily Transfer Minivan/Van from Phnom Penh to Sihanoukville,Bus Tours,2.0,5.0,5.0,166.25,"Gasoline, tolls/parking fees, water, passenger's insurance","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
836.0,Angkor Wat Sunrise,Full-day Tours,2.0,5.0,7.0,70.52,"Air-conditioned vehicle, Professional English Speaking Tour Guide, Good Quality Mineral Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
837.0,Private Tour in the Unique Grand Circuit of Angkor and Banteay Srei,Bus Tours,2.0,5.0,6.0,129.6,"Bottled water, Air-conditioned vehicle, Experienced Tour Guide, Cold Towel, Entry/Admission - Eastern Mebon, Entry/Admission - Pre Rup, Entry/Admission - Banteay Samre, Entry/Admission - Banteay Srei","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
838.0,Kulen Waterfall and Banteay Srei Off Beaten Track,Full-day Tours,2.0,5.0,7.0,150.0,"Bottle Water, Private Tour, license tour guide, Driver","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
839.0,Two Days Angkor Wat and Other Temples Shared Tour,Private and Luxury,2.0,5.0,48.0,115.16,"Local English Speaking Tour guide, Air-conditioned vehicle, Drinking Water and Cold Towels, Hotel Pickup and Drop Off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
840.0,Bayon Ta Promh and Banteay Srei Tour,Private and Luxury,2.0,5.0,7.0,80.0,"English Speaking Tour guide, Vehicle with A/C, Drinking Water and Cold Towels, Hotel Pickup and Drop Off, 50% of the profits we will make with your booking will go directly to support the local disadvantaged communities","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
841.0,Special Privately Tour At Angkor World Heritage For Three Day,Bus Tours,2.0,5.0,72.0,224.36,"Professional English Speaking Tour Guide, Licensed Driver with A/C Car or Minivan, Good Quality Mineral Water, Entry/Admission - Artisans Angkor","Asia, Cambodia, Siem Reap Province, Siem Reap, Svay Dangkum, Things to Do in Svay Dangkum, Svay Dangkum Tours, Tours and Tickets"
842.0,Private Classic Ancient Temple Trip with Five Days,Bus Tours,2.0,5.0,72.0,697.0,"Bottled water, Professional guide, Hotel pickup and drop-off, Private tour, A Private Driver, Private Transportation with A/C, Entry/Admission - Chong Kneas Floating Village, Entry/Admission - Artisans Angkor","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
843.0,Private Two Day Trip: Angkor Temples with Floating Village,Bus Tours,2.0,5.0,48.0,240.0,"Fuel surcharge, Bottled water, Local guide, Hotel pickup and drop-off, Private tour, Transport by air-conditioned minivan, Entry/Admission - Artisans Angkor","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
844.0,1-Day Private Tour: Discover Koh Ker Group & Beng Mealea,Adventure Tours,2.0,5.0,8.0,97.0,"Fully vaccinated English speaking tour guide with license, Fully vaccinated and experienced driver, Private vehicle by air-conditioned vehicle, Free cool water and towels during tour","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
845.0, Private Half-Day Tour of Angkor Wat and Phnom Bakheng Sunset,Bus Tours,2.0,5.0,6.0,110.4,"Bottled water, Professional Transport, Experienced Tour Guide, Cold Water & Towel, Entry/Admission - Angkor Wat","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
846.0,Explore The Kampong Pluk Floating Village,Bus Tours,2.0,5.0,5.0,78.13,"Bottled water, Air-conditioned vehicle, All Fees and Taxes, English Speaking Guide, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
847.0,The Best Angkor Day Tour,Bus Tours,2.0,5.0,8.0,115.9,"English Speaking Guide, Cool Water and Towel, Air-conditioning Vehicle","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
848.0,Angkor Wat Sunset Guided Join-In Tour,Full-day Tours,2.0,5.0,7.0,25.0,"Hotel pickup and drop-off, Transport by air-conditioned mini-bus or bigger bus, Full-day tour of Angkor Wat, Bayon and Ta Phrom, Professional English-speaking guide, Cold towels, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
849.0,Kompong Phluk Village boat trip half day private tour in Siem Reap,Bus Tours,1.0,5.0,4.0,48.0,"English speaking guide, Private transportation (Pick up & Drop off at your hotel in Siem Reap town), Bottle of water & Wet tissue, Note : Tour must complete before 12 noon with morning tour or 18:00 with afternoon tour, if the delay made by clients, clients should pay 10$/person/per hour directly to our guide., Entry/Admission - Kampong Phluk Floating Village","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
850.0,Full-Day Sunrise Exploring the amazing Temples and Cambodian Community Life,Full-day Tours,2.0,5.0,7.0,74.0,"Experience of Local Tour Guide (English Speaking), Private transportation (Tuk Tuk Driver), Mineral of water, Seasonal Fresh Fruits","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
851.0,City Discovery Kampong Phluk & Floating Village Private Day Trip,Bus Tours,2.0,5.0,5.0,120.67,"Private guide, Car transport, Entrance tickets, Driver, This tour is carbon neutral","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
852.0,Tonle Sap Lake Sunset Cruise Small Group from Siem Reap,Bus Tours,2.0,5.0,4.0,77.0,"Hotel pickup and drop off, Shared air conditioned vehicle on tours, Shared boat trip, Local live English speaking guide, 1 Local Beers, and snacks, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
853.0,Private Chong Kneas Floating Village Guided Tour,Adventure Tours,2.0,5.0,2.0,53.85,"A two hour tour of Chong Kneas floating village, Hotel pick-up and drop off, Professional English-speaking guide, Transport by your chosen vehicle, Bottled water, Cold towels, Life-jackets","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
854.0,Phnom Penh-Battambang-Siemreap Bus-tickets & Tour,Multi-day Tours,2.0,5.0,48.0,55.0,"Breakfast, Dinner, Homestay, Driver/guide, Pickup, Drop-off, Air-conditioned vehicle","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
855.0,Private Multi-Day VIP Tour in Siem Reap,Bus Tours,1.0,5.0,72.0,288.47,"English Speaking Guide, Transportation, Drinking Water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
856.0,Angkor Wat 2-Day with Banteay Srei and local foods tasting,Bus Tours,3.0,5.0,48.0,111.0,"English speaking Tour Guide, Transportation ( AC car or minivan or minibus, Bottles of cold drinking Water.","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
857.0,Angkor Wat 2 Day Tour Package& Floating Village & APOPO - Humanitarian Demining,Bus Tours,2.0,5.0,48.0,100.0,"Experienced & safe driver, Free cool & cool towels during touring, All local applicable taxes, Professional English Speaking Tour Guide 1 Day","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
858.0,Private Tour-Angkor Complex Discovery,Bus Tours,2.0,5.0,8.0,49.0,"Licensed English Speaking Tour Guide, Transportation by Tuk Tuk, Hotel pick and Drop-off, Cold Mineral waters, Cold towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
859.0,Small Group Kulen Mountain Tour with Picnic Lunch included,Adventure Tours,2.0,5.0,7.0,58.0,"Vaccinated English Speaking tour guide and driver, Transportation with A/C ( Minivan/Bus), Entrance fee of Kulen National Park, Cool mineral water and towels, Lunch ( Picnic with local food on riverside), Entry/Admission - Phnom Kulen National Park","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
860.0,Ox Cart Ride of Rural Cambodia,Walking Tours,3.0,4.5,4.0,92.63,"Local taxes, Afternoon tea, Bottled water, Local guide, Hotel pickup, Hotel drop-off (selected hotels only), Lunch","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
861.0,Rooftop Romantic Dinner - 4 Courses Set Meal & Wine,Food Tours,4.0,4.0,3.0,70.77,"Gourmet Set Menu, A bottle of Pre-Selected Wine, Romantic Dining Area and Table Set Up with Candles Light, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
862.0,Traditional Buddhist Water Blessing at a local pagoda,Bus Tours,4.0,4.0,2.0,37.0,"Private transport, Expert English speaking guide, Monk donation, Cold bottled drinking water, Sarong and towels, Hotel pick up and drop off","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
863.0,Rolous Group & Floating Village,Full-day Tours,2.0,4.5,7.0,99.0,"• Professional Speaking Guide, • A/C Car with Driver, • Pick Up/Drop Off, • Cold Water, Soft Drink and Towel","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
864.0,Sihanoukville Airport Transfer (Airport - Hotel - Airport),Bus Tours,2.0,4.5,1.0,49.0,"Meet and greet at the arrival airport terminal exit/hotel in city/pier/port, Pick up from airport/hotel in city/cruise port GATE1/boat pier, Drop off at your hotel in the city/cruise port GATE1/boat pier, One way transfer by air con vehicle, Friendly professional driver","Asia, Cambodia, Sihanoukville Province, Sihanoukville, Things to Do in Sihanoukville, Sihanoukville Tours, Tours and Tickets"
865.0,3-day group tour from Saigon to Phnom Penh,Bus Tours,2.0,4.5,72.0,379.49,"Lunch, Breakfast, Breakfast, Lunch, Bottled water, Hotel accommodation, English speaking tour guide, Air conditioner tourist bus, Entry/Admission - Vinh Trang Temple, Entry/Admission - Cai Rang Floating Market, Entry/Admission - Tra Su Bird Sanctuary","Asia, Vietnam, Ho Chi Minh City, Things to Do in Ho Chi Minh City, Ho Chi Minh City Tours, Tours and Tickets"
866.0,Private Angkor Wat Private Sunrise VIP private Tour,National Parks,2.0,4.5,7.0,123.08,"Professional English Speaking Guide, Tuk Tuk and licensed driver, Cold bottles of water and Cold towels, pick up and drop off, gratuity is recommended","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
867.0,The Iridescent landscape of Tonle Sap,Day Cruises,2.2,3.9,3.0,65.11,"A professional English-speaking guide., Transportation by car / mini-van / coach with professional driver from and to the embarkation point, Transportation by local boat with a local captain, All entrance and donation fees for visits as mentioned in the description, All applicable taxes and service charges, Entry/Admission - Tonle Sap Lake","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
868.0,Battambang 1 Day tour from Siem Reap,Full-day Tours,2.0,4.5,7.0,190.0,"Hotel Pickup and Drop off, Private tour by air-conditioning vehicle, Licensed tour guide English speaking, Cold drinking water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
869.0,Phnom Kulen Waterfall National Park Tour,Attractions & Museums,2.0,4.8,6.0,120.0,"English-speaking guide 01Day, Transportation in an air-conditioned, Mineral water, Hotel pickup and drop-off, Entry/Admission - Phnom Kulen National Park","Asia, Cambodia, Siem Reap Province, Things to Do in Siem Reap Province, Siem Reap Province Tours"
870.0,Exclusive Private Sunrise Tour of Angkor Wat with Champagne Breakfast,Bus Tours,2.0,4.5,8.0,179.0,"Experienced English Speaking Tour Guide, Special Breakfast on the boat with Champagne, American or Continental breakfast, 1 Hour Free flow of drink includes: Champagne, Local beer, soft drink, juice, Mineral water,coffee, Tea and Fresh milk, Hotel pickup and drop-off, Travel by air-con vehicle, Entry/Admission - Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
871.0,Siem Reap Temple and Waterfall 3-Day Tour,Bus Tours,2.0,4.5,72.0,171.5,"Pick Up & Drop Off in Siem Reap, Car, Van or Minibus with A/C, Cool Water and Cool Towels","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
872.0,Village Life Tour from Siem Reap,Half-day Tours,1.0,4.0,4.0,49.24,"Hotel pickup and drop-off, English-speaking guide, Transport by air-conditioned minivan, Lunch and drinks, Cool towel, Entry/Admission - Khmer Detours Day Tours","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
873.0,Day Trip to Beng Mealea Temple and Kampong Khleang from Siem Reap,Full-day Tours,1.6,4.8,7.0,94.36,"Hotel pickup and drop-off, All transport, All meals and drinks, English-speaking guide, All Fees and Taxes, Entry/Admission - Tonle Sap Lake, Entry/Admission - Beng Mealea, Entry/Admission - Khmer Detours Day Tours","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
874.0,Private Tour: Kulen Mountain Day Trip Including Hidden Temple from Siem Reap,Car Tours,1.0,5.0,7.0,87.18,"Bottled water, Hotel pickup and drop-off, Private tour, English-speaking driver, Guide (if option selected), Entry/Admission - Siem Reap","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
875.0,4-Day Cambodia Highlights Tour from Phnom Penh with Angkor Wat,Bus Tours,1.4,4.9,72.0,465.65,"Lunch, Breakfast, Lunch, Breakfast, Breakfast, 3 nights accommodation, Private A/C Minivan through the tour, Private English Speaking Guide, One-way arrival airfare (rate is subject to change without notice), All sightseeing Fees except Angkor Temple Pass, Entry/Admission - National Museum, Entry/Admission - Tuol Sleng Genocide Museum, Entry/Admission - Angkor Wat, Entry/Admission - Angkor Thom, Entry/Admission - Ta Prohm Temple","Asia, Cambodia, Phnom Penh, Things to Do in Phnom Penh, Phnom Penh Tours, Tours and Tickets"
876.0,"Phare, the Cambodian Circus",Theater Shows,3.0,4.0,2.0,18.0,"Admission of Phare, the Cambodia Circus, Entry/Admission - Phare, The Cambodian Circus, Guaranteed to skip the lines","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
877.0,Day Trip to Phnom Kulen Mountain from Siem Reap,Full-day Tours,2.0,2.0,7.0,78.0,"Expert guide, All transport to/from hotel, All check point fees, Lunch/drinks, Cold towels, Entry/Admission - Kulen Nature Trails","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
878.0,Private Full-Day Tour to Koh Ker and Beng Mealea,Bus Tours,1.0,5.0,8.0,95.0,"English Speaking Tour Guide, Private air conditioned vehicle, Bottled water","Asia, Cambodia, Siem Reap Province, Siem Reap, Things to Do in Siem Reap, Siem Reap Tours, Tours and Tickets"
